=== CONFORMANCE CORPUS — ACCEPT/REJECT TABLE ===
accepted? per validator; PASS means the validator matched the fixture's declared expectation

fixture                                                                        expect  pydantic  zod    agree  verdict
--------------------------------------------------------------------------------------------------------------------------
valid/all-geometries.json                                                      accept  True      True   True   PASS
valid/boundary-values.json                                                     accept  True      True   True   PASS
valid/deep-hierarchy.json                                                      accept  True      True   True   PASS
valid/defaults-omitted.json                                                    accept  True      True   True   PASS
valid/max-parts.json                                                           accept  True      True   True   PASS
valid/minimal.json                                                             accept  True      True   True   PASS
invalid/additionalproperties-not-a-real-field.json                             reject  False     False  True   PASS
invalid/defs-box-additionalproperties-parts-0-geometry-not-a-real-field.json   reject  False     False  True   PASS
invalid/defs-box-properties-d-exclusiveminimum-parts-0-geometry-d.json         reject  False     False  True   PASS
invalid/defs-box-properties-d-maximum-parts-0-geometry-d.json                  reject  False     False  True   PASS
invalid/defs-box-properties-d-type-parts-0-geometry-d.json                     reject  False     False  True   PASS
invalid/defs-box-properties-h-exclusiveminimum-parts-0-geometry-h.json         reject  False     False  True   PASS
invalid/defs-box-properties-h-maximum-parts-0-geometry-h.json                  reject  False     False  True   PASS
invalid/defs-box-properties-h-type-parts-0-geometry-h.json                     reject  False     False  True   PASS
invalid/defs-box-properties-type-const-parts-0-geometry-type.json              reject  False     False  True   PASS
invalid/defs-box-properties-type-type-parts-0-geometry-type.json               reject  False     False  True   PASS
invalid/defs-box-properties-w-exclusiveminimum-parts-0-geometry-w.json         reject  False     False  True   PASS
invalid/defs-box-properties-w-maximum-parts-0-geometry-w.json                  reject  False     False  True   PASS
invalid/defs-box-properties-w-type-parts-0-geometry-w.json                     reject  False     False  True   PASS
invalid/defs-box-required-parts-0-geometry-d.json                              reject  False     False  True   PASS
invalid/defs-box-required-parts-0-geometry-h.json                              reject  False     False  True   PASS
invalid/defs-box-required-parts-0-geometry-type.json                           reject  False     False  True   PASS
invalid/defs-box-required-parts-0-geometry-w.json                              reject  False     False  True   PASS
invalid/defs-box-type-parts-0-geometry.json                                    reject  False     False  True   PASS
invalid/defs-camerahint-additionalproperties-camera-hint-not-a-real-field.json reject  False     False  True   PASS
invalid/defs-camerahint-required-camera-hint-look-at.json                      reject  False     False  True   PASS
invalid/defs-camerahint-required-camera-hint-position.json                     reject  False     False  True   PASS
invalid/defs-camerahint-type-camera-hint.json                                  reject  False     False  True   PASS
invalid/defs-capsule-additionalproperties-parts-0-geometry-not-a-real-field.json reject  False     False  True   PASS
invalid/defs-capsule-properties-length-exclusiveminimum-parts-0-geometry-length.json reject  False     False  True   PASS
invalid/defs-capsule-properties-length-maximum-parts-0-geometry-length.json    reject  False     False  True   PASS
invalid/defs-capsule-properties-length-type-parts-0-geometry-length.json       reject  False     False  True   PASS
invalid/defs-capsule-properties-radius-exclusiveminimum-parts-0-geometry-radius.json reject  False     False  True   PASS
invalid/defs-capsule-properties-radius-maximum-parts-0-geometry-radius.json    reject  False     False  True   PASS
invalid/defs-capsule-properties-radius-type-parts-0-geometry-radius.json       reject  False     False  True   PASS
invalid/defs-capsule-properties-type-const-parts-0-geometry-type.json          reject  False     False  True   PASS
invalid/defs-capsule-properties-type-type-parts-0-geometry-type.json           reject  False     False  True   PASS
invalid/defs-capsule-required-parts-0-geometry-length.json                     reject  False     False  True   PASS
invalid/defs-capsule-required-parts-0-geometry-radius.json                     reject  False     False  True   PASS
invalid/defs-capsule-required-parts-0-geometry-type.json                       reject  False     False  True   PASS
invalid/defs-capsule-type-parts-0-geometry.json                                reject  False     False  True   PASS
invalid/defs-cone-additionalproperties-parts-0-geometry-not-a-real-field.json  reject  False     False  True   PASS
invalid/defs-cone-properties-height-exclusiveminimum-parts-0-geometry-height.json reject  False     False  True   PASS
invalid/defs-cone-properties-height-maximum-parts-0-geometry-height.json       reject  False     False  True   PASS
invalid/defs-cone-properties-height-type-parts-0-geometry-height.json          reject  False     False  True   PASS
invalid/defs-cone-properties-radius-exclusiveminimum-parts-0-geometry-radius.json reject  False     False  True   PASS
invalid/defs-cone-properties-radius-maximum-parts-0-geometry-radius.json       reject  False     False  True   PASS
invalid/defs-cone-properties-radius-type-parts-0-geometry-radius.json          reject  False     False  True   PASS
invalid/defs-cone-properties-type-const-parts-0-geometry-type.json             reject  False     False  True   PASS
invalid/defs-cone-properties-type-type-parts-0-geometry-type.json              reject  False     False  True   PASS
invalid/defs-cone-required-parts-0-geometry-height.json                        reject  False     False  True   PASS
invalid/defs-cone-required-parts-0-geometry-radius.json                        reject  False     False  True   PASS
invalid/defs-cone-required-parts-0-geometry-type.json                          reject  False     False  True   PASS
invalid/defs-cone-type-parts-0-geometry.json                                   reject  False     False  True   PASS
invalid/defs-cutaway-additionalproperties-cutaway-not-a-real-field.json        reject  False     False  True   PASS
